timestamp,duration (s)
1668600778.1767607,0.00465474
1668604360.08828,0.00438722
1668665603.7840786,0.00433778
1668669127.3498135,0.00432471
1668672733.794822,0.00436381
1668676409.1362202,0.00431383
1668679981.174259,0.0044007
1668683663.2301586,0.0044202
1668687502.7262278,0.00436097
1668690992.7019165,0.00485129
1668694558.1997242,0.0043718
1668698071.1543539,0.00460648
1668701763.6496868,0.00432552
1668705318.4166322,0.00433272
1668709281.1622598,0.00433885
1668712630.8188765,0.0043335
1668716077.1346862,0.00434
1668719634.4058182,0.00435672
1668723485.0221515,0.00435522
1668726801.9174938,0.00432845
1668730447.8478706,0.00435493
1668734016.5065675,0.00437868
1668737681.316894,0.00432999
1668741356.3504627,0.00436908
1668745003.1919448,0.00434508
1668748562.684674,0.00441935
1668752298.7344625,0.00435134
1668755667.263575,0.00435414
1668759325.782808,0.00433104
1668762806.8313348,0.00434897
1668766408.9494839,0.00443168
1668769988.0013595,0.00432209
1668773573.7268438,0.00431707
1668777216.806762,0.00441084
1668780803.3580432,0.00436212
1668784414.4866786,0.00440519
1668788031.5593455,0.00459706
1668792223.6194608,0.00430454
1668795450.1496696,0.00433161
1668798861.796128,0.00431739
1668802414.9769404,0.00437095
1668806058.1565242,0.00437656
1668809928.2134216,0.00438255
1668813248.3113966,0.00443563
1668817052.3153448,0.00435007
1668820403.320257,0.00436718
1668824001.4346426,0.00434065
1668827570.1342974,0.00440048
1668831170.1574152,0.00433898
1668834781.1644485,0.00436328
1668838400.5527935,0.00435639
1668841974.16234,0.00433814
1668845568.1910114,0.00434939
1668849176.5329475,0.00433394
1668852768.2993634,0.00439853
1668856337.2787216,0.00436439
1668859940.4344268,0.00434047
1668863620.9069364,0.00438532
1668867208.0205526,0.00433811
1668870820.168714,0.00432641
1668874415.3739116,0.00434791
1668878013.865483,0.00434677
1668881629.4885855,0.00433721
1668885239.2448823,0.00435284
1668888832.1365032,0.00436601
1668892431.0048366,0.0043591
1668896055.3523006,0.00431511
1668899632.8277886,0.00471151
1668903374.1810305,0.004368
1668906930.3464966,0.00432306
1668910444.5385482,0.00434589
1671171773.5551884,0.00435898
1671173210.3392787,0.004345600000000001
1671175305.9836287,0.00438674
1671597789.6384108,0.00434257
